V,A,
0,0,
6.4,5,
8.17,10,
9.71,15,
10.99,20,
12.5,25,
13.93,30,
15.32,35,
16.72,40,
18.21,45,
19.99,50,
20.49,51,
21.1,52,
21.59,53,
22.38,54,
23.68,55,
25.34,53,
25.77,51,
25.69,26,
26.12,24,
27.35,23.5,
27.99,24,
28.45,25,
29.06,27,
29.88,31,
30.71,35,
31.77,40,
32.9,45,
34.06,50,
35.41,55,
38.09,60,
35.29,55,
35.57,56,
36.02,57,
36.58,58,
37.26,59,
38.02,60,
38.86,60.5,
39.56,60,
41.85,57,unstable
42.62,56,
43.1,55,
43.76,54,
44.69,52.5,
45.42,51,
45.8,46,
47.72,45,
49.96,44.5,
51.18,45,
52.2,46,
53.15,47,
54.15,48,
55.14,49,
55.78,50,
56.35,51,
57.23,52,
58.32,53,
58.98,54,
60.31,55,
62.47,56,
65.57,56,
68.43,55.5,
69.83,55,
74.6,55,
74.9,55,
