I, A;N, 1/s;N-Nb, 1/s;p, keV/s;T, keV;mkFermi
0,2;0,69;0,09;47,7;2,2;910,6336326
0,4;0,64;0,04;95,4;8,8;214,6384056
0,6;0,6;0;143,1;19,7;0
0,8;0,56;-0,04;190,8;34,5;0
1;1,12;0,52;238,5;52,9;195,7803483
1,2;1,799;1,199;286,2;74,7;226,1544551
1,4;3,569;2,969;333,9;99,4;282,4102597
1,6;5,188;4,588;381,6;126,8;287,34203
1,8;6,498;5,898;429,3;156,4;273,0304289
2;8,088;7,488;477;188;262,6669004
2,2;9,197;8,597;524,7;221,4;243,9533954
2,4;10,667;10,067;572,4;256,3;231,6864295
2,6;11,647;11,047;620,1;292,5;215,2432694
2,8;10,277;9,677;667,8;329,9;180,2605735
3;8,448;7,848;715,5;368,2;146,3743704
3,2;6,408;5,808;763,2;407,5;114,3025084
3,4;4,649;4,049;810,9;447,5;87,14107992
3,6;2,639;2,039;858,6;488,1;56,75737308
3,8;1,65;1,05;906,3;529,4;37,55663553
4;1,49;0,89;954;571,2;32,01639587
4,1;6,988;6,388;977,85;592,3;82,65594463
4,2;12,856;12,256;1001,7;613,5;110,4251163
4,3;12,736;12,136;1025,55;634,8;106,0724318
4,4;9,257;8,657;1049,4;656,2;86,55100577
4,5;3,739;3,139;1073,25;677,7;50,38999464
4,6;1,54;0,94;1097,1;699,3;26,68053932
4,8;0,63;0,03;1144,8;742,7;4,47163345
5;0,4;-0,2;1192,5;786,4;0
